Actual,Predicted,Difference
563800,500860.73,62939.27
72200,176003.26,-103803.26
279700,377142.98,-97442.98
635300,558692.14,76607.86
280100,337505.55,-57405.55
429700,457919.21,-28219.21
263300,291519.11,-28219.11
259300,245040.97,14259.03
331300,321060.41,10239.59
207600,277554.61,-69954.61
245900,295865.21,-49965.21
474200,385811.01,88388.99
754600,721995.86,32604.14
284800,280873.95,3926.05
351900,397425.75,-45525.75
351600,340646.86,10953.14
222300,257585.61,-35285.61
253700,289187.53,-35487.53
226000,285771.49,-59771.49
468700,386942.05,81757.95
364200,354951.27,9248.73
273000,251993.88,21006.12
821800,746279.11,75520.89
512600,417547.0,95053.0
294100,319437.32,-25337.32
368800,360825.65,7974.35
248500,269210.01,-20710.01
269900,292533.78,-22633.78
204000,257186.22,-53186.22
376000,363193.14,12806.86
466800,655330.9,-188530.9
586300,501796.87,84503.13
263200,249960.19,13239.81
239300,299880.92,-60580.92
265300,270934.88,-5634.88
383300,393110.32,-9810.32
621500,571719.28,49780.72
274900,308142.46,-33242.46
1032500,1059269.4,-26769.4
350100,346645.23,3454.77
218100,286361.6,-68261.6
242100,290282.31,-48182.31
265800,300797.24,-34997.24
628100,540578.96,87521.04
264400,334704.4,-70304.4
617300,571871.67,45428.33
796500,737821.95,58678.05
340700,331583.84,9116.16
348200,426391.82,-78191.82
658300,572186.4,86113.6
238300,272779.36,-34479.36
283500,380356.09,-96856.09
494400,479649.9,14750.1
417300,365445.97,51854.03
790300,628719.22,161580.78
231600,259152.84,-27552.84
1072500,1199250.92,-126750.92
300000,316459.57,-16459.57
328000,401851.82,-73851.82
260300,325724.85,-65424.85
184500,241469.55,-56969.55
980000,793719.77,186280.23
295600,347292.13,-51692.13
303500,272163.17,31336.83
275000,333496.71,-58496.71
478200,438035.6,40164.4
249800,245430.01,4369.99
272800,293701.52,-20901.52
454400,417867.56,36532.44
178900,234769.35,-55869.35
353900,337351.26,16548.74
233700,239180.9,-5480.9
505300,492758.24,12541.76
207600,202229.3,5370.7
672500,766940.89,-94440.89
388100,403999.26,-15899.26
233800,275684.61,-41884.61
161500,124739.42,36760.58
153100,241517.62,-88417.62
674900,485991.49,188908.51
248200,278668.67,-30468.67
222500,242251.65,-19751.65
768000,676061.21,91938.79
227500,285982.95,-58482.95
182800,236314.09,-53514.09
295000,288044.22,6955.78
252600,286949.27,-34349.27
1045500,617972.59,427527.41
347500,353614.87,-6114.87
247900,268175.9,-20275.9
397900,364897.73,33002.27
202400,283071.54,-80671.54
138600,195996.56,-57396.56
504400,471854.95,32545.05
476100,388545.19,87554.81
306200,303457.17,2742.83
272200,294481.8,-22281.8
269100,304614.81,-35514.81
283100,299482.68,-16382.68
56500,167170.82,-110670.82
253500,313077.18,-59577.18
525900,405023.39,120876.61
395700,394176.06,1523.94
986900,785632.93,201267.07
474600,388366.68,86233.32
409300,356590.87,52709.13
528200,520408.34,7791.66
472000,424770.9,47229.1
390200,407787.06,-17587.06
249700,266076.77,-16376.77
630100,593903.9,36196.1
367800,389772.33,-21972.33
207300,220998.62,-13698.62
315900,341691.92,-25791.92
400200,411028.53,-10828.53
326100,315106.18,10993.82
269400,288131.69,-18731.69
486300,402782.05,83517.95
371100,349120.53,21979.47
238800,269368.18,-30568.18
475300,553265.81,-77965.81
108800,178189.62,-69389.62
306700,351959.31,-45259.31
331200,315771.15,15428.85
245600,260151.67,-14551.67
258200,211436.54,46763.46
488800,469191.09,19608.91
149600,252120.82,-102520.82
404200,368554.69,35645.31
510000,421721.66,88278.34
547900,427695.92,120204.08
363200,331654.54,31545.46
598500,435013.48,163486.52
462400,431326.91,31073.09
576200,478606.12,97593.88
251600,284505.63,-32905.63
359600,263940.46,95659.54
566800,764052.69,-197252.69
513500,484193.45,29306.55
317800,304138.67,13661.33
262200,260756.78,1443.22
491900,475327.58,16572.42
385600,376443.96,9156.04
552500,576096.13,-23596.13
454300,428337.76,25962.24
723100,817737.49,-94637.49
