date,Actual,Predicted,Difference
2024-07-01,360500,367245.69,-6745.690000000002
2024-07-01,357500,356696.01,803.9899999999907
2024-07-01,169800,168806.4,993.6000000000058
2024-07-01,277100,276809.0,291.0
2024-07-01,378800,378230.66,569.3400000000256
2024-07-01,286500,285726.26,773.7399999999907
2024-07-01,255700,254250.04,1449.9599999999919
2024-07-01,89900,89820.0,80.0
2024-07-01,307500,298589.67,8910.330000000016
2024-07-01,460000,460709.79,-709.789999999979
2024-07-01,313700,311486.22,2213.780000000028
2024-07-01,290100,290193.58,-93.5800000000163
2024-07-01,586200,584230.78,1969.219999999972
2024-07-01,404000,404317.43,-317.429999999993
2024-07-01,622300,616550.76,5749.239999999991
2024-07-01,455400,451903.46,3496.539999999979
2024-07-01,387800,387863.29,-63.289999999979045
2024-07-01,329900,330459.8,-559.7999999999884
2024-07-01,470000,468753.12,1246.8800000000047
2024-07-01,291700,296670.43,-4970.429999999993
2024-07-01,488400,486349.97,2050.030000000028
2024-07-01,298900,298975.87,-75.86999999999534
2024-07-01,232000,229575.32,2424.679999999993
2024-07-01,338700,337253.0,1447.0
2024-07-01,557600,554767.77,2832.2299999999814
2024-07-01,316700,317448.0,-748.0
2024-07-01,442900,441725.07,1174.929999999993
2024-07-01,837100,836615.71,484.29000000003725
2024-07-01,254200,253928.3,271.70000000001164
2024-07-01,388800,390960.66,-2160.6599999999744
2024-07-01,316400,328789.33,-12389.330000000016
2024-07-01,289500,286912.31,2587.6900000000023
2024-07-01,338700,339419.89,-719.890000000014
2024-07-01,307000,305288.99,1711.0100000000093
2024-07-01,498300,501366.88,-3066.8800000000047
2024-07-01,360300,360186.86,113.14000000001397
2024-07-01,267500,267278.63,221.36999999999534
2024-07-01,241900,241306.09,593.9100000000035
2024-07-01,527200,522075.57,5124.429999999993
2024-07-01,534800,534030.15,769.8499999999767
2024-07-01,186500,186404.0,96.0
2024-07-01,524900,520333.31,4566.690000000002
2024-07-01,500000,502282.8,-2282.7999999999884
2024-07-01,360200,356068.17,4131.830000000016
2024-07-01,573600,569302.97,4297.030000000028
2024-07-01,550100,546407.71,3692.2900000000373
2024-07-01,537800,532803.31,4996.689999999944
2024-07-01,363900,363244.74,655.2600000000093
2024-07-01,383500,386228.6,-2728.5999999999767
2024-07-01,270700,272242.35,-1542.3499999999767
2024-07-01,511800,508136.67,3663.3300000000163
2024-07-01,770000,759235.33,10764.670000000042
2024-07-01,231700,229894.08,1805.9200000000128
2024-07-01,582000,587133.67,-5133.670000000042
2024-07-01,705800,682746.3,23053.699999999953
2024-07-01,587200,583562.67,3637.329999999958
2024-07-01,273300,271528.4,1771.5999999999767
2024-07-01,291500,290476.91,1023.0900000000256
2024-07-01,342800,345477.64,-2677.640000000014
2024-07-01,435000,433862.59,1137.4099999999744
2024-07-01,335700,334921.09,778.9099999999744
2024-07-01,402000,379664.77,22335.22999999998
2024-07-01,260400,259320.33,1079.6700000000128
2024-07-01,193500,194545.47,-1045.4700000000012
2024-07-01,254400,253690.57,709.429999999993
2024-07-01,393600,392999.99,600.0100000000093
2024-07-01,417500,419648.61,-2148.609999999986
2024-07-01,266100,265798.81,301.1900000000023
2024-07-01,299200,300236.82,-1036.820000000007
2024-07-01,556200,553433.01,2766.9899999999907
2024-07-01,305200,304734.42,465.5800000000163
2024-07-01,269500,268857.84,642.1599999999744
2024-07-01,287400,286437.25,962.75
2024-07-01,450000,490785.33,-40785.330000000016
2024-07-01,382800,382218.89,581.109999999986
2024-07-01,521600,524304.94,-2704.939999999944
2024-07-01,293600,294187.6,-587.5999999999767
2024-07-01,447100,446364.44,735.5599999999977
2024-07-01,654200,659951.86,-5751.859999999986
2024-07-01,1305000,1214665.72,90334.28000000003
2024-07-01,560400,556404.28,3995.719999999972
2024-07-01,284700,283642.67,1057.3300000000163
2024-07-01,373500,371196.33,2303.6699999999837
2024-07-01,302700,304932.33,-2232.3300000000163
2024-07-01,485400,485228.5,171.5
2024-07-01,649000,639172.44,9827.560000000056
2024-07-01,484400,492813.52,-8413.520000000019
2024-07-01,213000,213444.39,-444.39000000001397
2024-07-01,249500,249188.68,311.320000000007
2024-07-01,468700,635784.67,-167084.67000000004
2024-07-01,523700,518156.87,5543.130000000005
2024-07-01,251400,250919.99,480.0100000000093
2024-07-01,532600,532036.06,563.9399999999441
2024-07-01,414400,411897.67,2502.3300000000163
2024-07-01,867500,856921.33,10578.670000000042
2024-07-01,191500,192102.52,-602.5199999999895
