Actual,Predicted,Difference
331300,332027.0,-727.0
207600,207248.0,352.0
245900,246977.0,-1077.0
474200,472730.0,1470.0
754600,749071.0,5529.0
284800,284503.0,297.0
351900,353095.0,-1195.0
351600,351225.0,375.0
222300,220950.0,1350.0
253700,254245.0,-545.0
226000,225730.0,270.0
468700,469250.0,-550.0
364200,366512.0,-2312.0
273000,272760.0,240.0
821800,804737.0,17063.0
512600,516973.0,-4373.0
294100,294635.0,-535.0
368800,367948.0,852.0
248500,249829.0,-1329.0
269900,268496.0,1404.0
204000,203219.0,781.0
376000,374315.0,1685.0
466800,495703.0,-28903.0
586300,596445.0,-10145.0
263200,257189.0,6011.0
239300,238921.0,379.0
265300,264057.0,1243.0
383300,388838.0,-5538.0
621500,619103.0,2397.0
274900,275445.0,-545.0
1032500,1131873.0,-99373.0
350100,346670.0,3430.0
218100,217567.0,533.0
242100,241818.0,282.0
265800,262909.0,2891.0
628100,628053.0,47.0
264400,263866.0,534.0
617300,611015.0,6285.0
796500,806694.0,-10194.0
340700,339942.0,758.0
348200,347511.0,689.0
658300,637489.0,20811.0
238300,238632.0,-332.0
283500,285354.0,-1854.0
494400,488313.0,6087.0
417300,411259.0,6041.0
790300,762039.0,28261.0
231600,231091.0,509.0
1072500,1112636.0,-40136.0
300000,297778.0,2222.0
328000,326418.0,1582.0
260300,266330.0,-6030.0
184500,183438.0,1062.0
980000,944854.0,35146.0
295600,293731.0,1869.0
303500,303128.0,372.0
275000,274994.0,6.0
478200,476024.0,2176.0
249800,248998.0,802.0
272800,272803.0,-3.0
454400,453290.0,1110.0
178900,178783.0,117.0
353900,356181.0,-2281.0
233700,234336.0,-636.0
505300,505097.0,203.0
207600,208304.0,-704.0
672500,681150.0,-8650.0
388100,389557.0,-1457.0
233800,233185.0,615.0
161500,161004.0,496.0
153100,156101.0,-3001.0
674900,624274.0,50626.0
248200,249068.0,-868.0
222500,222581.0,-81.0
768000,790229.0,-22229.0
227500,226644.0,856.0
182800,182357.0,443.0
295000,295259.0,-259.0
252600,252574.0,26.0
1045500,946324.0,99176.0
347500,348909.0,-1409.0
247900,247743.0,157.0
397900,392804.0,5096.0
202400,201835.0,565.0
138600,137582.0,1018.0
504400,499132.0,5268.0
476100,469121.0,6979.0
306200,305891.0,309.0
272200,272978.0,-778.0
269100,269389.0,-289.0
283100,284062.0,-962.0
56500,76159.0,-19659.0
253500,252961.0,539.0
525900,523392.0,2508.0
395700,396942.0,-1242.0
986900,984884.0,2016.0
474600,482850.0,-8250.0
409300,404955.0,4345.0
528200,509043.0,19157.0
472000,470242.0,1758.0
390200,390172.0,28.0
249700,248188.0,1512.0
630100,624469.0,5631.0
367800,366243.0,1557.0
207300,207769.0,-469.0
315900,329094.0,-13194.0
400200,400365.0,-165.0
326100,321191.0,4909.0
269400,269334.0,66.0
486300,482044.0,4256.0
371100,366729.0,4371.0
238800,237566.0,1234.0
475300,476750.0,-1450.0
108800,113928.0,-5128.0
306700,307964.0,-1264.0
331200,330770.0,430.0
245600,246544.0,-944.0
258200,258018.0,182.0
488800,486869.0,1931.0
149600,149487.0,113.0
404200,405588.0,-1388.0
510000,515366.0,-5366.0
547900,544418.0,3482.0
363200,364579.0,-1379.0
598500,505822.0,92678.0
462400,459253.0,3147.0
576200,570421.0,5779.0
251600,251305.0,295.0
359600,337313.0,22287.0
566800,568567.0,-1767.0
513500,516058.0,-2558.0
317800,317284.0,516.0
262200,262740.0,-540.0
491900,493789.0,-1889.0
385600,383288.0,2312.0
552500,558434.0,-5934.0
454300,458929.0,-4629.0
723100,705658.0,17442.0
463500,459974.0,3526.0
422700,423986.0,-1286.0
334700,335407.0,-707.0
244500,245473.0,-973.0
273500,272432.0,1068.0
245600,244600.0,1000.0
544800,530997.0,13803.0
392000,394132.0,-2132.0
378500,386128.0,-7628.0
317100,318600.0,-1500.0
273000,272170.0,830.0
456100,454975.0,1125.0
240900,239038.0,1862.0
250500,251818.0,-1318.0
224500,222704.0,1796.0
302900,397489.0,-94589.0
289800,288831.0,969.0
545100,566788.0,-21688.0
269900,288489.0,-18589.0
459900,472988.0,-13088.0
334400,334235.0,165.0
131100,132590.0,-1490.0
438400,439222.0,-822.0
458000,440450.0,17550.0
232500,231361.0,1139.0
320900,313884.0,7016.0
444200,442119.0,2081.0
397000,393884.0,3116.0
456500,454484.0,2016.0
290700,288869.0,1831.0
575400,592463.0,-17063.0
303700,302978.0,722.0
377200,374915.0,2285.0
427800,438284.0,-10484.0
439000,436751.0,2249.0
904800,887733.0,17067.0
465000,467034.0,-2034.0
494700,490057.0,4643.0
302700,308640.0,-5940.0
233900,234201.0,-301.0
222600,221858.0,742.0
327700,327121.0,579.0
311200,311015.0,185.0
365800,366444.0,-644.0
259700,258425.0,1275.0
281300,280649.0,651.0
243200,242558.0,642.0
343600,343105.0,495.0
224300,224227.0,73.0
454100,454242.0,-142.0
360700,356953.0,3747.0
790600,686022.0,104578.0
210300,206763.0,3537.0
289500,289419.0,81.0
264600,271888.0,-7288.0
429400,428051.0,1349.0
798900,807577.0,-8677.0
163300,164856.0,-1556.0
647700,642088.0,5612.0
483800,482458.0,1342.0
148500,148686.0,-186.0
433700,197545.0,236155.0
330400,331202.0,-802.0
429000,428397.0,603.0
464300,463186.0,1114.0
365200,360039.0,5161.0
325600,325912.0,-312.0
549200,543993.0,5207.0
415300,403478.0,11822.0
339900,339197.0,703.0
347400,344814.0,2586.0
341100,342064.0,-964.0
610300,617522.0,-7222.0
282500,284707.0,-2207.0
285000,295211.0,-10211.0
243300,242947.0,353.0
221400,220859.0,541.0
289000,289503.0,-503.0
362200,362460.0,-260.0
352900,352184.0,716.0
442300,440870.0,1430.0
673400,666124.0,7276.0
589400,598521.0,-9121.0
146400,146591.0,-191.0
354500,355245.0,-745.0
297100,295112.0,1988.0
236200,236286.0,-86.0
603400,613419.0,-10019.0
386800,387969.0,-1169.0
274000,274245.0,-245.0
526200,525065.0,1135.0
347800,352139.0,-4339.0
419800,421142.0,-1342.0
664500,653338.0,11162.0
268900,267914.0,986.0
214800,215496.0,-696.0
405500,404458.0,1042.0
1190000,1121167.0,68833.0
366200,365627.0,573.0
600400,599329.0,1071.0
290500,286820.0,3680.0
432300,439265.0,-6965.0
629800,617984.0,11816.0
374400,373249.0,1151.0
268600,267868.0,732.0
246200,246354.0,-154.0
230800,230301.0,499.0
489700,492725.0,-3025.0
365300,366509.0,-1209.0
292200,288638.0,3562.0
228300,227790.0,510.0
484100,479719.0,4381.0
244600,244875.0,-275.0
252700,253220.0,-520.0
346800,347633.0,-833.0
432800,439274.0,-6474.0
438800,436600.0,2200.0
367700,369305.0,-1605.0
396300,399283.0,-2983.0
242100,241903.0,197.0
430500,428571.0,1929.0
263300,264773.0,-1473.0
176000,178281.0,-2281.0
844900,851765.0,-6865.0
590100,582252.0,7848.0
267900,267805.0,95.0
113200,112562.0,638.0
339400,340627.0,-1227.0
236000,236759.0,-759.0
392100,380307.0,11793.0
653300,638612.0,14688.0
777500,783528.0,-6028.0
488500,481731.0,6769.0
268200,263415.0,4785.0
187900,192430.0,-4530.0
255100,256023.0,-923.0
292400,291168.0,1232.0
363000,360771.0,2229.0
372300,371088.0,1212.0
227900,226724.0,1176.0
467800,466398.0,1402.0
596300,574408.0,21892.0
267800,266108.0,1692.0
277700,277688.0,12.0
199400,190330.0,9070.0
354500,347607.0,6893.0
462800,464848.0,-2048.0
372400,366899.0,5501.0
473100,477700.0,-4600.0
486400,483326.0,3074.0
660200,657681.0,2519.0
404400,404749.0,-349.0
604300,594264.0,10036.0
