date,median_sale_price
2023-10-01,182800
2023-10-01,295000
2023-10-01,252600
2023-10-01,1045500
2023-10-01,347500
2023-10-01,247900
2023-10-01,397900
2023-10-01,202400
2023-10-01,138600
2023-10-01,504400
2023-10-01,476100
2023-10-01,306200
2023-10-01,272200
2023-10-01,269100
2023-10-01,283100
2023-10-01,56500
2023-10-01,253500
2023-10-01,525900
2023-10-01,395700
2023-10-01,986900
2023-10-01,474600
2023-10-01,409300
2023-10-01,528200
2023-10-01,472000
2023-10-01,390200
2023-10-01,249700
2023-10-01,630100
2023-10-01,367800
2023-10-01,207300
2023-10-01,315900
2023-10-01,400200
2023-10-01,326100
2023-10-01,269400
2023-10-01,486300
2023-10-01,371100
2023-10-01,238800
2023-10-01,475300
2023-10-01,108800
2023-10-01,306700
2023-10-01,331200
2023-10-01,245600
2023-10-01,258200
2023-10-01,488800
2023-10-01,149600
2023-10-01,404200
2023-10-01,510000
2023-10-01,547900
2023-10-01,363200
2023-10-01,598500
2023-10-01,462400
2023-10-01,576200
2023-10-01,251600
2023-10-01,359600
2023-10-01,566800
2023-10-01,513500
2023-10-01,317800
2023-10-01,262200
2023-10-01,491900
2023-10-01,385600
2023-10-01,552500
2023-10-01,454300
2023-10-01,723100
2023-10-01,463500
2023-10-01,422700
2023-10-01,334700
2023-10-01,244500
2023-10-01,273500
2023-10-01,245600
2023-10-01,544800
2023-10-01,392000
2023-10-01,378500
2023-10-01,317100
2023-10-01,273000
2023-10-01,456100
2023-10-01,240900
2023-10-01,250500
2023-10-01,224500
2023-10-01,302900
2023-10-01,289800
2023-10-01,545100
2023-10-01,269900
2023-10-01,459900
2023-10-01,334400
2023-10-01,131100
2023-10-01,438400
2023-10-01,458000
2023-10-01,232500
2023-10-01,320900
2023-10-01,444200
2023-10-01,397000
2023-10-01,456500
2023-10-01,290700
2023-10-01,575400
2023-10-01,303700
2023-10-01,377200
2023-10-01,427800
2023-10-01,439000
2023-10-01,904800
2023-10-01,465000
2023-10-01,494700
2023-10-01,302700
2023-10-01,233900
2023-10-01,222600
2023-10-01,327700
2023-10-01,311200
2023-10-01,365800
2023-10-01,259700
2023-10-01,281300
2023-10-01,243200
2023-10-01,343600
2023-10-01,224300
2023-10-01,454100
2023-10-01,360700
2023-10-01,790600
2023-10-01,210300
2023-10-01,289500
2023-10-01,264600
2023-10-01,429400
2023-10-01,798900
2023-10-01,163300
2023-10-01,647700
2023-10-01,483800
2023-10-01,148500
2023-10-01,433700
2023-10-01,330400
2023-10-01,429000
2023-10-01,464300
2023-10-01,365200
2023-10-01,325600
2023-10-01,549200
2023-10-01,415300
2023-10-01,339900
2023-10-01,347400
2023-10-01,341100
2023-10-01,610300
2023-10-01,282500
2023-10-01,285000
2023-10-01,243300
2023-10-01,221400
2023-10-01,289000
2023-10-01,362200
2023-10-01,352900
2023-10-01,442300
2023-10-01,673400
2023-10-01,589400
2023-10-01,146400
2023-10-01,354500
2023-10-01,297100
2023-10-01,236200
2023-10-01,603400
2023-10-01,386800
2023-10-01,274000
2023-10-01,526200
2023-10-01,347800
2023-10-01,419800
2023-10-01,664500
2023-10-01,268900
2023-10-01,214800
2023-10-01,405500
2023-10-01,1190000
2023-10-01,366200
2023-10-01,600400
2023-10-01,290500
2023-10-01,432300
2023-10-01,629800
2023-10-01,374400
2023-10-01,268600
2023-10-01,246200
2023-10-01,230800
2023-10-01,489700
2023-10-01,365300
2023-10-01,292200
2023-10-01,228300
2023-10-01,484100
2023-10-01,244600
2023-10-01,252700
2023-10-01,346800
2023-10-01,432800
2023-10-01,438800
2023-10-01,367700
2023-10-01,396300
2023-10-01,242100
2023-10-01,430500
2023-10-01,263300
2023-10-01,176000
2023-10-01,844900
2023-11-01,590100
2023-11-01,267900
2023-11-01,113200
2023-11-01,339400
2023-11-01,236000
2023-11-01,392100
2023-11-01,653300
2023-11-01,777500
2023-11-01,488500
2023-11-01,268200
2023-11-01,187900
2023-11-01,255100
2023-11-01,292400
2023-11-01,363000
2023-11-01,372300
2023-11-01,227900
2023-11-01,467800
2023-11-01,596300
2023-11-01,267800
2023-11-01,277700
2023-11-01,199400
2023-11-01,354500
2023-11-01,462800
2023-11-01,372400
2023-11-01,473100
2023-11-01,486400
2023-11-01,660200
2023-11-01,404400
2023-11-01,604300
2023-11-01,154200
2023-11-01,143700
2023-11-01,529800
2023-11-01,332900
2023-11-01,156200
2023-11-01,358900
2023-11-01,451600
2023-11-01,244800
2023-11-01,368600
2023-11-01,259900
2023-11-01,435800
2023-11-01,240500
2023-11-01,295000
2023-11-01,645300
2023-11-01,443600
2023-11-01,464000
2023-11-01,345800
2023-11-01,456000
2023-11-01,268700
2023-11-01,479400
2023-11-01,244200
2023-11-01,618500
2023-11-01,712200
2023-11-01,437600
2023-11-01,455600
2023-11-01,238200
2023-11-01,485600
2023-11-01,400200
2023-11-01,406100
2023-11-01,247200
2023-11-01,274900
2023-11-01,440800
2023-11-01,542900
