Actual,Predicted,Difference
279700,455819.56,-176119.56
635300,611132.1,24167.88
280100,368432.56,-88332.56
429700,440421.2,-10721.19
263300,303634.78,-40334.78
259300,253573.12,5726.88
331300,320205.84,11094.16
207600,200851.86,6748.14
245900,265650.1,-19750.09
474200,425614.62,48585.38
754600,735521.8,19078.19
284800,235421.92,49378.08
351900,417110.6,-65210.59
351600,339319.1,12280.91
222300,231499.88,-9199.88
253700,234305.64,19394.36
226000,289545.25,-63545.25
468700,392127.38,76572.62
364200,347857.88,16342.12
273000,247205.3,25794.7
821800,763932.5,57867.5
512600,485622.84,26977.16
294100,307964.06,-13864.06
368800,350083.2,18716.81
248500,239850.95,8649.05
269900,243279.45,26620.55
204000,232231.2,-28231.2
376000,357095.4,18904.59
466800,481313.38,-14513.38
586300,542660.4,43639.62
263200,241274.48,21925.52
239300,237152.12,2147.88
265300,193181.45,72118.55
383300,424426.16,-41126.16
621500,572984.56,48515.44
274900,248919.55,25980.45
1032500,1314612.1,-282112.12
350100,348723.44,1376.56
218100,261749.73,-43649.73
242100,245672.92,-3572.92
265800,255001.3,10798.7
628100,575475.44,52624.56
264400,261481.27,2918.73
617300,561316.7,55983.31
796500,782776.5,13723.5
340700,311732.75,28967.25
348200,363326.75,-15126.75
658300,604992.75,53307.25
238300,236014.6,2285.41
283500,368649.25,-85149.25
494400,491263.9,3136.09
417300,343587.9,73712.09
790300,840817.06,-50517.06
231600,234651.31,-3051.31
1072500,942706.4,129793.62
300000,274082.7,25917.31
328000,294108.47,33891.53
260300,236475.6,23824.41
184500,179708.45,4791.55
980000,965988.2,14011.81
295600,296860.62,-1260.62
303500,243802.0,59698.0
275000,374923.56,-99923.56
478200,441263.2,36936.81
249800,259046.1,-9246.09
272800,273730.6,-930.59
454400,439434.8,14965.19
178900,190754.1,-11854.09
353900,335587.2,18312.81
233700,203286.45,30413.55
505300,499993.9,5306.09
207600,181975.05,25624.95
672500,692860.8,-20360.81
388100,397897.25,-9797.25
233800,227687.6,6112.41
161500,202388.19,-40888.19
153100,153146.48,-46.48
674900,566643.56,108256.44
248200,250631.7,-2431.7
222500,221787.36,712.64
768000,1135847.4,-367847.38
227500,224918.42,2581.58
182800,213709.81,-30909.81
295000,280905.5,14094.5
252600,251541.27,1058.73
1045500,853888.0,191612.0
347500,329652.03,17847.97
247900,236593.0,11307.0
397900,336633.2,61266.81
202400,208209.69,-5809.69
138600,222241.12,-83641.12
504400,437057.12,67342.88
476100,397182.4,78917.59
306200,290620.53,15579.47
272200,275581.38,-3381.38
269100,256488.92,12611.08
283100,282622.6,477.41
56500,68373.46,-11873.46
253500,256667.55,-3167.55
525900,565562.1,-39662.12
395700,401074.44,-5374.44
986900,926524.25,60375.75
474600,407673.2,66926.81
409300,324435.7,84864.31
528200,514222.16,13977.84
472000,439179.8,32820.19
390200,415677.9,-25477.91
249700,259033.19,-9333.19
630100,600411.94,29688.06
367800,359260.56,8539.44
207300,202519.44,4780.56
315900,267068.3,48831.69
400200,397711.56,2488.44
326100,296336.25,29763.75
269400,268032.9,1367.09
486300,457580.56,28719.44
371100,359437.62,11662.38
238800,231204.5,7595.5
475300,558402.8,-83102.81
108800,146484.3,-37684.3
306700,265104.72,41595.28
331200,309357.4,21842.59
245600,237491.9,8108.09
258200,224171.31,34028.69
488800,468652.25,20147.75
149600,153965.94,-4365.94
404200,383742.25,20457.75
510000,542160.44,-32160.44
547900,533768.6,14131.38
363200,337825.28,25374.72
598500,480967.3,117532.69
462400,421756.44,40643.56
576200,597056.0,-20856.0
251600,245497.5,6102.5
359600,344562.16,15037.84
566800,540650.5,26149.5
513500,447924.8,65575.19
317800,299894.25,17905.75
262200,248296.69,13903.31
491900,452045.8,39854.19
385600,362036.44,23563.56
552500,516310.88,36189.12
454300,431384.38,22915.62
723100,702211.2,20888.81
463500,491357.7,-27857.69
422700,417693.6,5006.41
334700,291169.78,43530.22
244500,255455.58,-10955.58
273500,260746.88,12753.12
245600,216169.02,29430.98
544800,509224.1,35575.91
392000,406742.9,-14742.91
378500,377560.72,939.28
317100,309166.53,7933.47
273000,265101.56,7898.44
456100,427066.75,29033.25
240900,214249.55,26650.45
250500,243900.55,6599.45
224500,205919.69,18580.31
302900,286577.66,16322.34
289800,275932.34,13867.66
545100,520818.38,24281.62
269900,247629.56,22270.44
459900,488624.53,-28724.53
334400,305677.66,28722.34
131100,120497.62,10602.38
438400,407946.16,30453.84
458000,439192.53,18807.47
232500,219041.72,13458.28
320900,295143.66,25756.34
444200,430104.03,14095.97
397000,418541.1,-21541.09
456500,458873.53,-2373.53
290700,279242.9,11457.09
575400,592555.5,-17155.5
303700,296464.0,7236.0
377200,362544.7,14655.31
427800,463470.62,-35670.62
439000,442356.53,-3356.53
904800,842425.94,62374.06
465000,464845.28,154.72
494700,509483.72,-14783.72
302700,268592.4,34107.59
233900,220923.14,12976.86
222600,263452.47,-40852.47
327700,316701.16,10998.84
311200,298689.66,12510.34
365800,343514.53,22285.47
259700,235675.44,24024.56
281300,251785.6,29514.41
243200,234986.2,8213.8
343600,343232.62,367.38
224300,221320.52,2979.48
454100,429122.3,24977.69
360700,355031.6,5668.41
790600,899466.3,-108866.31
210300,189077.06,21222.94
289500,282472.56,7027.44
264600,256430.42,8169.58
429400,408802.4,20597.59
798900,730652.0,68248.0
163300,200772.14,-37472.14
647700,631997.1,15702.88
483800,416089.6,67710.41
148500,152500.38,-4000.38
433700,250409.23,183290.77
330400,296511.66,33888.34
429000,737259.2,-308259.19
464300,479151.38,-14851.38
365200,382261.84,-17061.84
325600,448572.4,-122972.41
549200,505360.38,43839.62
415300,422076.1,-6776.09
339900,290124.44,49775.56
347400,326826.8,20573.19
341100,342825.12,-1725.12
610300,568879.2,41420.81
282500,262154.47,20345.53
285000,272965.22,12034.78
243300,224556.31,18743.69
221400,246675.42,-25275.42
289000,276792.03,12207.97
362200,288280.38,73919.62
352900,356041.62,-3141.62
442300,418576.1,23723.91
673400,689371.75,-15971.75
589400,619125.9,-29725.88
146400,224139.55,-77739.55
354500,326529.6,27970.41
297100,302419.66,-5319.66
236200,220645.16,15554.84
603400,504825.97,98574.03
386800,383531.16,3268.84
274000,268193.47,5806.53
526200,449858.4,76341.59
347800,413976.62,-66176.62
419800,392325.8,27474.19
664500,606232.6,58267.38
268900,260213.45,8686.55
214800,217697.1,-2897.09
405500,383670.9,21829.09
1190000,1128564.4,61435.62
366200,338754.38,27445.62
600400,528475.06,71924.94
290500,343872.97,-53372.97
432300,497127.75,-64827.75
629800,600168.4,29631.62
374400,368320.1,6079.91
268600,236096.88,32503.12
246200,237857.12,8342.88
230800,251519.16,-20719.16
489700,480250.1,9449.91
365300,338549.9,26750.09
292200,254124.06,38075.94
228300,187821.66,40478.34
484100,437065.4,47034.59
244600,223676.16,20923.84
252700,230216.64,22483.36
346800,252736.48,94063.52
432800,381202.9,51597.09
438800,584268.2,-145468.19
367700,366215.2,1484.81
396300,367803.3,28496.69
242100,235891.1,6208.91
430500,383177.3,47322.69
263300,263613.12,-313.12
176000,177490.05,-1490.05
844900,857940.75,-13040.75
590100,586224.0,3876.0
267900,261603.62,6296.38
113200,123682.98,-10482.98
339400,312822.22,26577.78
236000,248584.84,-12584.84
392100,349158.2,42941.81
653300,570310.56,82989.44
777500,751122.75,26377.25
488500,453827.7,34672.31
268200,258283.31,9916.69
187900,224287.42,-36387.42
255100,244733.94,10366.06
292400,269896.22,22503.78
363000,329730.78,33269.22
372300,369876.72,2423.28
227900,217679.12,10220.88
467800,442430.8,25369.19
596300,518936.72,77363.28
267800,238142.19,29657.81
277700,274189.94,3510.06
199400,189096.19,10303.81
354500,337132.62,17367.38
462800,521964.0,-59164.0
372400,369303.0,3097.0
473100,474981.38,-1881.38
486400,476233.8,10166.19
660200,676203.06,-16003.06
404400,383528.25,20871.75
604300,553061.5,51238.5
154200,136751.28,17448.72
143700,170302.05,-26602.05
529800,485850.0,43950.0
332900,308569.44,24330.56
156200,151877.8,4322.2
358900,367781.03,-8881.03
451600,401821.38,49778.62
244800,236775.06,8024.94
368600,356217.8,12382.19
259900,259987.94,-87.94
435800,410498.53,25301.47
240500,229697.22,10802.78
295000,236951.1,58048.91
645300,573580.06,71719.94
443600,467232.28,-23632.28
464000,399642.84,64357.16
345800,314001.28,31798.72
456000,437935.53,18064.47
268700,248655.78,20044.22
479400,431042.47,48357.53
244200,252706.64,-8506.64
618500,561331.7,57168.31
712200,710090.56,2109.44
437600,459488.53,-21888.53
455600,434929.47,20670.53
238200,162794.31,75405.69
485600,473622.62,11977.38
400200,402136.88,-1936.88
406100,391605.2,14494.81
247200,245052.78,2147.22
274900,291780.94,-16880.94
440800,449934.8,-9134.81
542900,525623.4,17276.62
456800,425904.44,30895.56
180500,212706.84,-32206.84
140800,161816.62,-21016.62
268200,218769.55,49430.45
551200,579922.0,-28722.0
364300,365906.9,-1606.91
250200,252542.12,-2342.12
339300,323040.66,16259.34
495100,535723.6,-40623.62
394500,415844.6,-21344.59
369100,357332.12,11767.88
490700,482349.53,8350.47
246500,240387.19,6112.81
376100,366320.25,9779.75
243800,253140.77,-9340.77
480000,422437.16,57562.84
571500,554051.25,17448.75
145000,133073.16,11926.84
240600,224615.64,15984.36
392600,363877.38,28722.62
3275000,2023565.9,1251434.12
331200,302366.66,28833.34
535400,534041.44,1358.56
201500,212656.69,-11156.69
258900,193098.34,65801.66
308300,282803.3,25496.69
326300,230516.78,95783.22
233600,226517.81,7082.19
539100,376384.12,162715.88
242100,253983.92,-11883.92
228700,232288.14,-3588.14
594800,530372.25,64427.75
191400,195822.95,-4422.95
406000,407813.88,-1813.88
289400,272771.0,16629.0
260900,248547.98,12352.02
274300,271680.7,2619.31
238800,236310.45,2489.55
377300,362730.38,14569.62
492800,491736.25,1063.75
446900,447288.47,-388.47
306600,303143.3,3456.69
102100,133796.95,-31696.95
375300,344136.12,31163.88
83000,161634.92,-78634.92
219900,224442.9,-4542.91
308800,256931.81,51868.19
415200,415834.84,-634.84
248200,237154.05,11045.95
267300,252474.0,14826.0
339000,334596.16,4403.84
612600,535889.7,76710.31
794600,679691.25,114908.75
296100,274842.03,21257.97
863200,715027.6,148172.38
256900,251629.4,5270.59
215000,245664.5,-30664.5
1750000,1082956.8,667043.25
269600,247308.27,22291.73
709600,623592.2,86007.81
259000,252347.77,6652.23
582400,528470.6,53929.38
257900,270434.4,-12534.41
502100,448350.97,53749.03
209000,156925.06,52074.94
899300,846686.56,52613.44
428400,407804.38,20595.62
501500,560877.8,-59377.81
337100,348557.9,-11457.91
489100,495753.1,-6653.09
401700,318958.53,82741.47
376300,354652.12,21647.88
442900,430278.44,12621.56
219000,227646.81,-8646.81
280900,268339.5,12560.5
188100,214118.88,-26018.88
262900,270217.2,-7317.19
469600,439461.75,30138.25
244000,243243.56,756.44
311400,291693.44,19706.56
269400,295400.56,-26000.56
275000,265531.16,9468.84
287800,333991.38,-46191.38
