Actual,Predicted,Difference
331300,331515.69,-215.69
207600,208332.0,-732.0
245900,246837.33,-937.33
474200,473640.67,559.33
754600,750445.48,4154.52
284800,284139.62,660.38
351900,351953.0,-53.0
351600,350388.26,1211.74
222300,221697.83,602.17
253700,254111.83,-411.83
226000,225890.33,109.67
468700,467012.0,1688.0
364200,364148.33,51.67
273000,273669.54,-669.54
821800,806835.09,14964.91
512600,515120.7,-2520.7
294100,294961.82,-861.82
368800,368980.8,-180.8
248500,249684.41,-1184.41
269900,268130.09,1769.91
204000,202193.58,1806.42
376000,373781.57,2218.43
466800,500034.63,-33234.63
586300,587396.17,-1096.17
263200,272156.44,-8956.44
239300,241074.66,-1774.66
265300,264841.67,458.33
383300,434399.33,-51099.33
621500,614267.16,7232.84
274900,274638.96,261.04
1032500,1106760.33,-74260.33
350100,343974.61,6125.39
218100,217498.0,602.0
242100,242418.8,-318.8
265800,264013.33,1786.67
628100,619734.18,8365.82
264400,261993.67,2406.33
617300,604183.53,13116.47
796500,806383.7,-9883.7
340700,338962.01,1737.99
348200,347827.0,373.0
658300,651668.57,6631.43
238300,239082.74,-782.74
283500,284603.0,-1103.0
494400,487512.2,6887.8
417300,416391.0,909.0
790300,771446.5,18853.5
231600,231471.92,128.08
1072500,1085826.67,-13326.67
300000,297926.87,2073.13
328000,325649.0,2351.0
260300,264244.0,-3944.0
184500,184126.17,373.83
980000,956378.48,23621.52
295600,293111.0,2489.0
303500,303615.36,-115.36
275000,276408.4,-1408.4
478200,473741.19,4458.81
249800,248432.0,1368.0
272800,272315.04,484.96
454400,454559.54,-159.54
178900,179293.0,-393.0
353900,355069.96,-1169.96
233700,233300.0,400.0
505300,506092.29,-792.29
207600,207673.88,-73.88
672500,681025.22,-8525.22
388100,388907.17,-807.17
233800,233057.65,742.35
161500,161835.67,-335.67
153100,154071.95,-971.95
674900,646730.67,28169.33
248200,246613.17,1586.83
222500,222596.78,-96.78
768000,787926.33,-19926.33
227500,226674.62,825.38
182800,176642.22,6157.78
295000,294532.33,467.67
252600,251335.69,1264.31
1045500,1003711.67,41788.33
347500,348721.1,-1221.1
247900,247448.72,451.28
397900,394221.0,3679.0
202400,200968.83,1431.17
138600,140347.67,-1747.67
504400,502400.38,1999.62
476100,469178.67,6921.33
306200,305108.99,1091.01
272200,271828.95,371.05
269100,269080.21,19.79
283100,282904.44,195.56
56500,71089.67,-14589.67
253500,252986.72,513.28
525900,525042.9,857.1
395700,392114.0,3586.0
986900,976137.67,10762.33
474600,475822.33,-1222.33
409300,402341.13,6958.87
528200,507622.1,20577.9
472000,469115.28,2884.72
390200,388342.67,1857.33
249700,249088.18,611.82
630100,624293.92,5806.08
367800,365959.0,1841.0
207300,207965.67,-665.67
315900,298758.0,17142.0
400200,400217.65,-17.65
326100,323110.23,2989.77
269400,269612.55,-212.55
486300,483093.33,3206.67
371100,364596.75,6503.25
238800,237561.64,1238.36
475300,475398.67,-98.67
108800,114825.33,-6025.33
306700,306530.67,169.33
331200,331334.91,-134.91
245600,246726.83,-1126.83
258200,257070.67,1129.33
488800,488127.0,673.0
149600,149756.44,-156.44
404200,405103.58,-903.58
510000,522524.77,-12524.77
547900,547433.0,467.0
363200,366195.67,-2995.67
598500,494211.0,104289.0
462400,460575.32,1824.68
576200,574313.14,1886.86
251600,252164.51,-564.51
359600,343086.33,16513.67
566800,563803.89,2996.11
513500,511233.0,2267.0
317800,317228.75,571.25
262200,262688.93,-488.93
491900,494565.77,-2665.77
385600,382399.34,3200.66
552500,555819.81,-3319.81
454300,456411.75,-2111.75
723100,694946.33,28153.67
463500,462072.16,1427.84
422700,421155.35,1544.65
334700,333812.92,887.08
244500,244461.67,38.33
273500,271805.45,1694.55
245600,244422.5,1177.5
544800,529193.67,15606.33
392000,395960.44,-3960.44
378500,383305.58,-4805.58
317100,318438.07,-1338.07
273000,273215.28,-215.28
456100,457125.24,-1025.24
240900,239292.0,1608.0
250500,251771.75,-1271.75
224500,222977.0,1523.0
302900,393155.67,-90255.67
289800,290545.67,-745.67
545100,548004.92,-2904.92
269900,321071.33,-51171.33
459900,471041.77,-11141.77
334400,334696.63,-296.63
131100,129672.0,1428.0
438400,439063.5,-663.5
458000,436299.0,21701.0
232500,230878.67,1621.33
320900,319076.33,1823.67
444200,445153.24,-953.24
397000,393056.59,3943.41
456500,453791.89,2708.11
290700,287579.17,3120.83
575400,574133.68,1266.32
303700,304056.93,-356.93
377200,375249.21,1950.79
427800,430921.86,-3121.86
439000,436358.47,2641.53
904800,896514.33,8285.67
465000,465202.59,-202.59
494700,486586.33,8113.67
302700,304746.5,-2046.5
233900,233533.14,366.86
222600,216728.8,5871.2
327700,327384.01,315.99
311200,310941.73,258.27
365800,365643.71,156.29
259700,258957.56,742.44
281300,280985.67,314.33
243200,242474.68,725.32
343600,344044.85,-444.85
224300,224470.29,-170.29
454100,454278.0,-178.0
360700,353875.67,6824.33
790600,678107.0,112493.0
210300,203881.0,6419.0
289500,289822.63,-322.63
264600,265875.0,-1275.0
429400,429356.91,43.09
798900,797814.26,1085.74
163300,164804.94,-1504.94
647700,637713.67,9986.33
483800,480984.66,2815.34
148500,148233.67,266.33
433700,184140.33,249559.67
330400,331748.67,-1348.67
429000,433273.0,-4273.0
464300,464885.33,-585.33
365200,359409.0,5791.0
325600,326995.48,-1395.48
549200,542993.0,6207.0
415300,410932.67,4367.33
339900,343086.0,-3186.0
347400,345228.33,2171.67
341100,341302.65,-202.65
610300,607764.94,2535.06
282500,283501.44,-1001.44
285000,294721.33,-9721.33
243300,243696.87,-396.87
221400,221564.11,-164.11
289000,288673.29,326.71
362200,367710.0,-5510.0
352900,355546.0,-2646.0
442300,441826.61,473.39
673400,668324.17,5075.83
589400,596190.38,-6790.38
146400,139299.33,7100.67
354500,357746.96,-3246.96
297100,294738.2,2361.8
236200,236188.2,11.8
603400,605557.83,-2157.83
386800,387273.03,-473.03
274000,273526.57,473.43
526200,530835.0,-4635.0
347800,352759.0,-4959.0
419800,422740.91,-2940.91
664500,634333.71,30166.29
268900,266923.84,1976.16
214800,215907.56,-1107.56
405500,404597.89,902.11
1190000,1129248.67,60751.33
366200,364932.06,1267.94
600400,599766.5,633.5
290500,283847.57,6652.43
432300,430412.56,1887.44
629800,613697.17,16102.83
374400,373551.52,848.48
268600,267110.24,1489.76
246200,246834.19,-634.19
230800,230104.78,695.22
489700,489142.08,557.92
365300,368386.76,-3086.76
292200,290902.67,1297.33
228300,227580.31,719.69
484100,482646.71,1453.29
244600,245298.09,-698.09
252700,253499.24,-799.24
346800,343972.0,2828.0
432800,438624.72,-5824.72
438800,438479.65,320.35
367700,368705.66,-1005.66
396300,397400.32,-1100.32
242100,242247.89,-147.89
430500,430753.18,-253.18
263300,263513.67,-213.67
176000,176633.0,-633.0
844900,846660.33,-1760.33
590100,577836.28,12263.72
267900,268267.11,-367.11
113200,120071.0,-6871.0
339400,340103.96,-703.96
236000,236125.53,-125.53
392100,379395.59,12704.41
653300,646176.2,7123.8
777500,789906.76,-12406.76
488500,482298.86,6201.14
268200,265735.84,2464.16
187900,190526.63,-2626.63
255100,256293.71,-1193.71
292400,290784.21,1615.79
